target_name,temperature,n_raw,n_unique,n_duplicates,unique_rate,mean_recovery,best_recovery,mean_methyl_rate
3AVJ,0.3,60,60,0,1.0,0.025,0.125,0.035416666666666666
3AVJ,0.5,98,98,0,1.0,0.02806122448979592,0.125,0.026785714285714284
3AVK,0.01,2,2,0,1.0,0.0,0.0,0.1875
3AVK,0.1,22,22,0,1.0,0.005681818181818182,0.125,0.11363636363636363
3AVK,0.2,32,32,0,1.0,0.01953125,0.125,0.04296875
3AVK,0.3,58,58,0,1.0,0.010775862068965518,0.125,0.021551724137931036
3AVK,0.5,96,96,0,1.0,0.029947916666666668,0.125,0.01171875
3AVM,0.01,6,6,0,1.0,0.0,0.0,0.0625
3AVM,0.1,31,31,0,1.0,0.016129032258064516,0.125,0.06854838709677419
3AVM,0.2,57,57,0,1.0,0.039473684210526314,0.125,0.03508771929824561
3AVM,0.3,81,81,0,1.0,0.030864197530864196,0.25,0.029320987654320986
3AVM,0.5,98,98,0,1.0,0.05102040816326531,0.25,0.002551020408163265
3AVN,0.01,3,3,0,1.0,0.0,0.0,0.3333333333333333
3AVN,0.1,21,21,0,1.0,0.0,0.0,0.21428571428571427
3AVN,0.2,65,65,0,1.0,0.01730769230769231,0.125,0.11346153846153846
3AVN,0.3,72,72,0,1.0,0.008680555555555556,0.125,0.052083333333333336
3AVN,0.5,97,97,0,1.0,0.02190721649484536,0.125,0.010309278350515464
3P8F,0.01,6,6,0,1.0,0.07142857142857141,0.07142857142857142,0.44047619047619047
3P8F,0.1,39,39,0,1.0,0.06410256410256414,0.07142857142857142,0.32967032967032966
3P8F,0.2,70,70,0,1.0,0.06632653061224486,0.14285714285714285,0.3418367346938775
3P8F,0.3,96,96,0,1.0,0.07440476190476189,0.21428571428571427,0.3206845238095238
3P8F,0.5,100,100,0,1.0,0.07428571428571429,0.21428571428571427,0.2678571428571429
3WNE,0.01,2,2,0,1.0,0.08333333333333333,0.16666666666666666,0.16666666666666666
3WNE,0.1,11,11,0,1.0,0.0606060606060606,0.16666666666666666,0.07575757575757575
3WNE,0.2,30,30,0,1.0,0.07777777777777777,0.16666666666666666,0.07222222222222222
3WNE,0.3,61,61,0,1.0,0.12021857923497269,0.3333333333333333,0.07923497267759563
3WNE,0.5,84,84,0,1.0,0.11309523809523807,0.3333333333333333,0.05357142857142857
3ZGC,0.01,7,7,0,1.0,0.0,0.0,0.2857142857142857
3ZGC,0.1,9,9,0,1.0,0.031746031746031744,0.14285714285714285,0.2063492063492063
3ZGC,0.2,22,22,0,1.0,0.05194805194805194,0.14285714285714285,0.2467532467532468
3ZGC,0.3,34,34,0,1.0,0.037815126050420166,0.14285714285714285,0.1554621848739496
3ZGC,0.5,60,60,0,1.0,0.04285714285714285,0.14285714285714285,0.14285714285714282
4K1E,0.01,4,4,0,1.0,0.0,0.0,0.5
4K1E,0.1,37,37,0,1.0,0.02509652509652509,0.14285714285714285,0.5057915057915057
4K1E,0.2,56,56,0,1.0,0.030612244897959183,0.14285714285714285,0.4681122448979592
4K1E,0.3,84,84,0,1.0,0.039965986394557826,0.14285714285714285,0.44557823129251706
4K1E,0.5,100,100,0,1.0,0.04928571428571429,0.21428571428571427,0.4049999999999999
4KEL,0.01,12,12,0,1.0,0.0,0.0,0.5119047619047619
4KEL,0.1,33,33,0,1.0,0.01948051948051948,0.07142857142857142,0.48701298701298706
4KEL,0.2,80,80,0,1.0,0.030357142857142853,0.14285714285714285,0.4580357142857142
4KEL,0.3,90,90,0,1.0,0.04206349206349206,0.21428571428571427,0.4571428571428571
4KEL,0.5,100,100,0,1.0,0.04642857142857142,0.14285714285714285,0.3321428571428571
